"url","Player_Name","Pos","Team","College"
"http://www.footballdb.com/players/current.html?pos=QB","Allen, Brandon","QB","Jacksonville Jaguars","Arkansas"
"http://www.footballdb.com/players/current.html?pos=QB","Anderson, Derek","QB","Carolina Panthers","Oregon State"
"http://www.footballdb.com/players/current.html?pos=QB","Barkley, Matt","QB","Chicago Bears","Southern California"
"http://www.footballdb.com/players/current.html?pos=QB","Bortles, Blake","QB","Jacksonville Jaguars","Central Florida"
"http://www.footballdb.com/players/current.html?pos=QB","Boykin, Trevone","QB","Seattle Seahawks","Texas Christian"
"http://www.footballdb.com/players/current.html?pos=QB","Bradford, Sam","QB","Minnesota Vikings","Oklahoma"
"http://www.footballdb.com/players/current.html?pos=QB","Brady, Tom","QB","New England Patriots","Michigan"
"http://www.footballdb.com/players/current.html?pos=QB","Bray, Tyler","QB","Kansas City Chiefs","Tennessee"
"http://www.footballdb.com/players/current.html?pos=QB","Brees, Drew","QB","New Orleans Saints","Purdue"
"http://www.footballdb.com/players/current.html?pos=QB","Bridgewater, Teddy","QB","Minnesota Vikings","Louisville"
"http://www.footballdb.com/players/current.html?pos=QB","Brissett, Jacoby","QB","New England Patriots","North Carolina State"
"http://www.footballdb.com/players/current.html?pos=QB","Callahan, Joe","QB","Green Bay Packers","Wesley"
"http://www.footballdb.com/players/current.html?pos=QB","Carr, Derek","QB","Oakland Raiders","Fresno State"
"http://www.footballdb.com/players/current.html?pos=QB","Cassel, Matt","QB","Tennessee Titans","Southern California"
"http://www.footballdb.com/players/current.html?pos=QB","Clemens, Kellen","QB","San Diego Chargers","Oregon"
"http://www.footballdb.com/players/current.html?pos=QB","Cook, Connor","QB","Oakland Raiders","Michigan State"
"http://www.footballdb.com/players/current.html?pos=QB","Cousins, Kirk","QB","Washington Redskins","Michigan State"
"http://www.footballdb.com/players/current.html?pos=QB","Cutler, Jay","QB","Chicago Bears","Vanderbilt"
"http://www.footballdb.com/players/current.html?pos=QB","Dalton, Andy","QB","Cincinnati Bengals","Texas Christian"
"http://www.footballdb.com/players/current.html?pos=QB","Daniel, Chase","QB","Philadelphia Eagles","Missouri"
"http://www.footballdb.com/players/current.html?pos=QB","Davis, Austin","QB","Denver Broncos","Southern Mississippi"
"http://www.footballdb.com/players/current.html?pos=QB","Doughty, Brandon","QB","Miami Dolphins","Western Kentucky"
"http://www.footballdb.com/players/current.html?pos=QB","Driskel, Jeff","QB","Cincinnati Bengals","Louisiana Tech"
"http://www.footballdb.com/players/current.html?pos=QB","Dysert, Zac","QB","Arizona Cardinals","Miami (OH)"
"http://www.footballdb.com/players/current.html?pos=QB","Fales, David","QB","Chicago Bears","San Jose State"
"http://www.footballdb.com/players/current.html?pos=QB","Fitzpatrick, Ryan","QB","New York Jets","Harvard"
"http://www.footballdb.com/players/current.html?pos=QB","Flacco, Joe","QB","Baltimore Ravens","Delaware"
"http://www.footballdb.com/players/current.html?pos=QB","Foles, Nick","QB","Kansas City Chiefs","Arizona"
"http://www.footballdb.com/players/current.html?pos=QB","Gabbert, Blaine","QB","San Francisco 49ers","Missouri"
"http://www.footballdb.com/players/current.html?pos=QB","Garoppolo, Jimmy","QB","New England Patriots","Eastern Illinois"
"http://www.footballdb.com/players/current.html?pos=QB","Glennon, Mike","QB","Tampa Bay Buccaneers","North Carolina State"
"http://www.footballdb.com/players/current.html?pos=QB","Goff, Jared","QB","Los Angeles Rams","California"
"http://www.footballdb.com/players/current.html?pos=QB","Grayson, Garrett","QB","New Orleans Saints","Colorado State"
"http://www.footballdb.com/players/current.html?pos=QB","Griffin III, Robert","QB","Cleveland Browns","Baylor"
"http://www.footballdb.com/players/current.html?pos=QB","Griffin, Ryan","QB","Tampa Bay Buccaneers","Tulane"
"http://www.footballdb.com/players/current.html?pos=QB","Hackenberg, Christian","QB","New York Jets","Penn State"
"http://www.footballdb.com/players/current.html?pos=QB","Heinicke, Taylor","QB","Minnesota Vikings","Old Dominion"
"http://www.footballdb.com/players/current.html?pos=QB","Henne, Chad","QB","Jacksonville Jaguars","Michigan"
"http://www.footballdb.com/players/current.html?pos=QB","Hill, Shaun","QB","Minnesota Vikings","Maryland"
"http://www.footballdb.com/players/current.html?pos=QB","Hogan, Kevin","QB","Cleveland Browns","Stanford"
"http://www.footballdb.com/players/current.html?pos=QB","Hoyer, Brian","QB","Chicago Bears","Michigan State"
"http://www.footballdb.com/players/current.html?pos=QB","Hundley, Brett","QB","Green Bay Packers","UCLA"
"http://www.footballdb.com/players/current.html?pos=QB","Johnson, Josh","QB","New York Giants","San Diego"
"http://www.footballdb.com/players/current.html?pos=QB","Jones, Cardale","QB","Buffalo Bills","Ohio State"
"http://www.footballdb.com/players/current.html?pos=QB","Jones, Landry","QB","Pittsburgh Steelers","Oklahoma"
"http://www.footballdb.com/players/current.html?pos=QB","Kaepernick, Colin","QB","San Francisco 49ers","Nevada"
"http://www.footballdb.com/players/current.html?pos=QB","Keenum, Case","QB","Los Angeles Rams","Houston"
"http://www.footballdb.com/players/current.html?pos=QB","Kessler, Cody","QB","Cleveland Browns","Southern California"
"http://www.footballdb.com/players/current.html?pos=QB","Lewis, Thaddeus","QB","San Francisco 49ers","Duke"
"http://www.footballdb.com/players/current.html?pos=QB","Luck, Andrew","QB","Indianapolis Colts","Stanford"
"http://www.footballdb.com/players/current.html?pos=QB","Lynch, Paxton","QB","Denver Broncos","Memphis"
"http://www.footballdb.com/players/current.html?pos=QB","Mallett, Ryan","QB","Baltimore Ravens","Arkansas"
"http://www.footballdb.com/players/current.html?pos=QB","Manning, Eli","QB","New York Giants","Mississippi"
"http://www.footballdb.com/players/current.html?pos=QB","Mannion, Sean","QB","Los Angeles Rams","Oregon State"
"http://www.footballdb.com/players/current.html?pos=QB","Manuel, E.J.","QB","Buffalo Bills","Florida State"
"http://www.footballdb.com/players/current.html?pos=QB","Mariota, Marcus","QB","Tennessee Titans","Oregon"
"http://www.footballdb.com/players/current.html?pos=QB","McCarron, A.J.","QB","Cincinnati Bengals","Alabama"
"http://www.footballdb.com/players/current.html?pos=QB","McCown, Josh","QB","Cleveland Browns","Sam Houston State"
"http://www.footballdb.com/players/current.html?pos=QB","McCown, Luke","QB","New Orleans Saints","Louisiana Tech"
"http://www.footballdb.com/players/current.html?pos=QB","McCoy, Colt","QB","Washington Redskins","Texas"
"http://www.footballdb.com/players/current.html?pos=QB","McGloin, Matt","QB","Oakland Raiders","Penn State"
"http://www.footballdb.com/players/current.html?pos=QB","Mettenberger, Zach","QB","Pittsburgh Steelers","Louisiana State"
"http://www.footballdb.com/players/current.html?pos=QB","Moore, Kellen","QB","Dallas Cowboys","Boise State"
"http://www.footballdb.com/players/current.html?pos=QB","Moore, Matt","QB","Miami Dolphins","Oregon State"
"http://www.footballdb.com/players/current.html?pos=QB","Morris, Stephen","QB","Indianapolis Colts","Miami"
"http://www.footballdb.com/players/current.html?pos=QB","Murray, Aaron","QB","Philadelphia Eagles","Georgia"
"http://www.footballdb.com/players/current.html?pos=QB","Nassib, Ryan","QB","New York Giants","Syracuse"
