"url","Team","Games","Total_Points","Rush_Yards","Pass_Yards"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Arizona Cardinals","11","228","1088","2146"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Baltimore Ravens","11","201","824","2452"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Minnesota Vikings","12","209","1242","2399"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Denver Broncos","11","219","1320","2133"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Houston Texans","11","236","1183","2301"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Jacksonville Jaguars","11","293","1283","2247"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Seattle Seahawks","11","187","1102","2590"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Philadelphia Eagles","11","213","1131","2602"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Los Angeles Rams","11","236","1235","2503"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Buffalo Bills","11","236","1256","2505"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Chicago Bears","11","264","1137","2638"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","New York Jets","11","266","945","2891"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Green Bay Packers","11","289","992","2867"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","New England Patriots","11","197","1095","2790"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Detroit Lions","11","238","1128","2760"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","New York Giants","11","213","980","2912"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Carolina Panthers","11","281","874","3027"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Dallas Cowboys","12","228","987","3315"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Pittsburgh Steelers","11","222","1048","2898"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","San Diego Chargers","11","291","988","2984"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Miami Dolphins","11","240","1454","2527"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Tennessee Titans","12","296","1108","3244"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Cincinnati Bengals","11","245","1326","2706"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Tampa Bay Buccaneers","11","264","1274","2788"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Washington Redskins","11","264","1284","2782"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","New Orleans Saints","11","307","1090","2985"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Atlanta Falcons","11","302","1087","3104"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Kansas City Chiefs","11","214","1335","2866"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Oakland Raiders","11","275","1286","3008"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Indianapolis Colts","11","301","1279","3066"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","Cleveland Browns","12","352","1687","3113"
"http://www.footballdb.com/stats/teamstat.html?lg=NFL&yr=2016&type=reg&cat=T&group=D&conf=","San Francisco 49ers","11","344","1890","2779"
