"url","Coaches","team"
"http://www.espn.com/nfl/coaches/_/id","Bruce Arians","Arizona Cardinals"
"http://www.espn.com/nfl/coaches/_/id","Dan Quinn","Atlanta Falcons"
"http://www.espn.com/nfl/coaches/_/id","John Harbaugh","Baltimore Ravens"
"http://www.espn.com/nfl/coaches/_/id","Rex Ryan","Buffalo Bills"
"http://www.espn.com/nfl/coaches/_/id","Ron Rivera","Carolina Panthers"
"http://www.espn.com/nfl/coaches/_/id","John Fox","Chicago Bears"
"http://www.espn.com/nfl/coaches/_/id","Marvin Lewis","Cincinnati Bengals"
"http://www.espn.com/nfl/coaches/_/id","Hue Jackson","Cleveland Browns"
"http://www.espn.com/nfl/coaches/_/id","Jason Garrett","Dallas Cowboys"
"http://www.espn.com/nfl/coaches/_/id","Gary Kubiak","Denver Broncos"
"http://www.espn.com/nfl/coaches/_/id","Jim Caldwell","Detroit Lions"
"http://www.espn.com/nfl/coaches/_/id","Mike McCarthy","Green Bay Packers"
"http://www.espn.com/nfl/coaches/_/id","Bill O'Brien","Houston Texans"
"http://www.espn.com/nfl/coaches/_/id","Chuck Pagano","Indianapolis Colts"
"http://www.espn.com/nfl/coaches/_/id","Gus Bradley","Jacksonville Jaguars"
"http://www.espn.com/nfl/coaches/_/id","Andy Reid","Kansas City Chiefs"
"http://www.espn.com/nfl/coaches/_/id","Jeff Fisher","Los Angeles Rams"
"http://www.espn.com/nfl/coaches/_/id","Adam Gase","Miami Dolphins"
"http://www.espn.com/nfl/coaches/_/id","Mike Zimmer","Minnesota Vikings"
"http://www.espn.com/nfl/coaches/_/id","Bill Belichick","New England Patriots"
"http://www.espn.com/nfl/coaches/_/id","Sean Payton","New Orleans Saints"
"http://www.espn.com/nfl/coaches/_/id","Ben McAdoo","New York Giants"
"http://www.espn.com/nfl/coaches/_/id","Todd Bowles","New York Jets"
"http://www.espn.com/nfl/coaches/_/id","Jack Del Rio","Oakland Raiders"
"http://www.espn.com/nfl/coaches/_/id","Doug Pederson","Philadelphia Eagles"
"http://www.espn.com/nfl/coaches/_/id","Mike Tomlin","Pittsburgh Steelers"
"http://www.espn.com/nfl/coaches/_/id","Mike McCoy","San Diego Chargers"
"http://www.espn.com/nfl/coaches/_/id","Chip Kelly","San Francisco 49ers"
"http://www.espn.com/nfl/coaches/_/id","Pete Carroll","Seattle Seahawks"
"http://www.espn.com/nfl/coaches/_/id","Dirk Koetter","Tampa Bay Buccaneers"
"http://www.espn.com/nfl/coaches/_/id","Mike Mularkey","Tennessee Titans"
"http://www.espn.com/nfl/coaches/_/id","Jay Gruden","Washington Redskins"
