"url","name","tackles","assist","sack","pd","int","force_fumble","fumble_recover"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Jason Pierre-Paul","34","17","7.0","8","0","3","1"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Vic Beasley","24","6","9.5","2","0","4","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Cliff Avril","16","14","9.0","3","0","4","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Danielle Hunter","22","16","9.5","1","0","1","1"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Dee Ford","22","10","10.0","2","0","1","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Carlos Dunlap","24","11","6.5","10","0","2","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Everson Griffen","30","10","6.0","0","0","2","2"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Aaron Donald","29","6","6.0","3","0","2","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Markus Golden","26","9","7.0","0","0","2","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Damon Harrison","43","21","1.5","1","0","1","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Bruce Irvin","31","6","4.0","1","0","4","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Ndamukong Suh","28","22","5.0","4","0","0","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Olivier Vernon","31","14","5.5","0","0","1","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Cameron Wake","16","4","9.0","0","0","3","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Cameron Jordan","27","15","5.0","4","0","1","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Frank Clark","18","17","7.5","1","0","1","0"
"http://fftoday.com/stats/playerstats.php?Season=2016&GameWeek=&PosID=50&LeagueID=1","Leonard Williams","28","13","5.0","0","0","2","0"
