"url","Name","passing","pass_td","int","rush_att","rush_yd","rush_td","rec_att","rec_yds","rec_td"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Drew Brees","3587","30","8","16","19","2","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Aaron Rodgers","3074","27","7","46","285","3","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Matt Ryan","3516","26","6","27","84","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Marcus Mariota","2998","25","8","49","310","2","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Dak Prescott","2835","18","2","41","180","5","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Kirk Cousins","3540","20","7","21","49","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Derek Carr","3115","22","5","29","50","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Ben Roethlisberger","2745","23","7","8","22","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Andrew Luck","2827","19","8","51","246","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Matthew Stafford","2883","19","5","27","156","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Blake Bortles","2749","20","13","45","294","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Jameis Winston","2900","22","11","37","110","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Philip Rivers","3128","23","12","9","16","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Tyrod Taylor","2101","11","4","70","439","5","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Cam Newton","2432","13","8","65","274","5","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Andy Dalton","3043","12","6","37","153","3","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Russell Wilson","2865","11","4","47","159","1","2","14","1"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Eli Manning","2902","20","10","18","-6","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Tom Brady","2201","18","1","22","59","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Ryan Tannehill","2574","15","8","33","144","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Joe Flacco","2877","11","10","19","58","2","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Carson Palmer","2931","15","11","9","35","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Carson Wentz","2593","11","8","32","81","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Trevor Siemian","2396","15","7","25","58","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Alex Smith","2297","10","4","27","56","2","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Sam Bradford","2415","12","3","11","-3","0","1","5","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Colin Kaepernick","1440","10","3","46","373","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Brock Osweiler","2307","12","13","24","112","1","1","-6","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Ryan Fitzpatrick","2252","10","13","26","113","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Case Keenum","2169","9","11","20","51","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Brian Hoyer","1445","6","0","7","-2","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Cody Kessler","1369","6","2","11","18","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Blaine Gabbert","890","5","6","39","172","2","1","-16","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Josh McCown","1100","6","6","7","21","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Jay Cutler","1059","4","5","5","24","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Jimmy Garoppolo","496","4","0","7","8","0","1","3","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Nick Foles","410","3","0","4","-4","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Jacoby Brissett","400","0","0","16","83","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Jared Goff","348","3","1","4","11","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Paxton Lynch","393","2","1","9","14","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Matt Barkley","397","3","4","3","-1","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Derek Anderson","453","2","4","1","4","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Kevin Hogan","104","0","2","8","105","1","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Landry Jones","281","1","1","5","-3","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Shaun Hill","236","0","0","2","8","0","0","0","0"
"http://games.espn.com/ffl/leaders?&seasonTotals=true&seasonId=2016&slotCategoryId=0","Charlie Whitehurst","182","1","1","2","1","0","0","0","0"
