1,Ben Roethlisberger\RoetBe00,QB,PIT,$23950000
2,Matt Ryan\RyanMa00,QB,ATL,$23750000
3,Joe Flacco\FlacJo00,QB,BAL,$22550000
4,Kirk Cousins\CousKi00,QB,WAS,$19953000
5,Cam Newton\NewtCa00,QB,CAR,$19500000
6,Aaron Rodgers\RodgAa00,QB,GNB,$19250000
7,Justin Houston\HousJu00,LB,KAN,$19100000
8,Andrew Luck\LuckAn00,QB,IND,$18400000
9,Sam Bradford\BradSa00,QB,MIN,$18000000
10,Alex Smith\SmitAl03,QB,KAN,$17800000
11,Eli Manning\MannEl00,QB,NYG,$17500000
12,Matthew Stafford\StafMa00,QB,DET,$17000000
,Darrelle Revis\ReviDa99,DB,NYJ,$17000000
,Jay Cutler\CutlJa00,QB,CHI,$17000000
15,Philip Rivers\RivePh00,QB,SDG,$16500000
16,Julio Jones\JoneJu02,WR,ATL,$15900000
17,Demaryius Thomas\ThomDe03,WR,DEN,$15200000
18,Lawrence Timmons\TimmLa99,LB,PIT,$15131250
19,Alshon Jeffery\JeffAl00,WR,CHI,$14599000
20,Trumaine Johnson\JohnTr05,CB,LAR,$13952000
21,Clay Matthews\MattCl99,LB,GNB,$13750000
22,Joe Haden\HadeJo99,DB,CLE,$13400000
23,Kelechi Osemele\OsemKe00,T,OAK,$13200000
24,Andy Dalton\DaltAn00,QB,CIN,$13100000
25,A.J. Green\GreeA.00,WR,CIN,$13000000
26,Ndamukong Suh\SuhxNd99,DT,MIA,$12600000
27,Richard Sherman\SherRi00,DB,SEA,$12569000
28,Bruce Irvin\IrviBr00,DE,OAK,$12500000
29,Jeremy Maclin\MaclJe00,WR,KAN,$12400000
30,Russell Wilson\WilsRu00,QB,SEA,$12342000
31,Brock Osweiler\OsweBr00,QB,HOU,$12000000
,Sam Shields\ShieSa00,DB,GNB,$12000000
33,Colin Kaepernick\KaepCo00,QB,SFO,$11900000
34,Antonio Brown\BrowAn04,WR,PIT,$11883333
35,Ryan Kalil\KaliRy20,C,CAR,$11829000
36,Ryan Tannehill\TannRy00,QB,MIA,$11640000
37,Marcell Dareus\DareMa00,DT,BUF,$11514705
38,Jeremiah Attaochu\AttaJe00,OLB,SDG,$11463000
39,Matt Kalil\KaliMa00,OT,MIN,$11096000
40,Stephon Gilmore\GilmSt00,CB,BUF,$11082000
41,Sean Smith\SmitSe99,DB,OAK,$11000000
,Michael Crabtree\CrabMi00,WR,OAK,$11000000
,Larry Fitzgerald\FitzLa00,WR,ARI,$11000000
,T.Y. Hilton\HiltT.00,WR,IND,$11000000
45,Eric Berry\BerrEr99,DB,KAN,$10806000
46,Maurkice Pouncey\PounMa20,C,PIT,$10551000
47,Julius Peppers\PeppJu99,DE,GNB,$10500000
,J.J. Watt\WattJ.00,DE,HOU,$10500000
